file,size_bytes,size_mb
adapter_config.json,1061,0.001012
adapter_model.safetensors,119801528,114.251640
chat_template.jinja,2507,0.002391
lora_state_dict.pt,119914175,114.359069
README.md,5226,0.004984
tokenizer.json,11421892,10.892765
tokenizer_config.json,664,0.000633
training_args.bin,5585,0.005326

tensor_name,shape,numel,memory_bytes
base_model.model.model.layers.10.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.10.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.10.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.11.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.11.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.11.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.11.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.11.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.11.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.11.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.11.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.11.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.11.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.11.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.11.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.11.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.11.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.12.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.12.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.12.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.12.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.12.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.12.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.12.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.12.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.12.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.12.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.12.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.12.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.12.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.12.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.13.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.13.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.13.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.13.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.13.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.13.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.13.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.13.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.13.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.13.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.13.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.13.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.13.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.13.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.14.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.14.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.14.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.14.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.14.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.14.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.14.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.14.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.14.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.14.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.14.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.14.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.14.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.14.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.15.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.15.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.15.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.15.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.15.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.15.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.15.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.15.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.15.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.15.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.15.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.15.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.15.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.15.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.16.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.16.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.16.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.16.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.16.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.16.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.16.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.16.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.16.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.16.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.16.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.16.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.16.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.16.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.17.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.17.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.17.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.17.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.17.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.17.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.17.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.17.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.17.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.17.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.17.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.17.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.17.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.17.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.18.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.18.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.18.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.18.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.18.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.18.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.18.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.18.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.18.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.18.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.18.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.18.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.18.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.18.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.19.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.19.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.19.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.19.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.19.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.19.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.19.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.19.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.19.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.19.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.19.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.19.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.19.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.19.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.20.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.20.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.20.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.20.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.20.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.20.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.20.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
