task_id,status,suggestion
DS0048,Failed: AttributeError: 'DataFrame' object has no attribute 'append',"[{""api"": ""Series._append"", ""type"": ""method"", ""belongs_to"": ""Series"", ""required_params"": [""self"", ""to_append""], ""optional_params"": [""ignore_index"", ""verify_integrity""], ""description"": """"}, {""api"": ""PairGrid.pipe"", ""type"": ""method"", ""belongs_to"": ""PairGrid"", ""required_params"": [""self"", ""func"", ""args"", ""kwargs""], ""optional_params"": [], ""description"": ""Pass the grid to a user-supplied function and return its value.""}]"
DS0049,Failed: AttributeError: 'DataFrame' object has no attribute 'append',"[{""api"": ""Series._append"", ""type"": ""method"", ""belongs_to"": ""Series"", ""required_params"": [""self"", ""to_append""], ""optional_params"": [""ignore_index"", ""verify_integrity""], ""description"": """"}, {""api"": ""PairGrid.pipe"", ""type"": ""method"", ""belongs_to"": ""PairGrid"", ""required_params"": [""self"", ""func"", ""args"", ""kwargs""], ""optional_params"": [], ""description"": ""Pass the grid to a user-supplied function and return its value.""}]"
DS0050,Passed,[]
DS0051,Passed,[]
DS0052,Passed,[]
DS0053,Failed: TypeError: bad operand type for unary -: 'str',[]
DS0054,"Failed: InvalidIndexError: a   2017-01-08
b   2017-01-05
c   2017-01-05
dtype: datetime64[ns]",[]
DS0055,Failed: Logic Error (Assertion failed),[]
DS0056,Failed: Logic Error (Assertion failed),[]
DS0057,Failed: ValueError: cannot include dtype 'M' in a buffer,[]
DS0058,Failed: Logic Error (Assertion failed),[]
DS0059,Failed: ValueError: Length of values (1) does not match length of index (2),[]
DS0060,Failed: KeyError: 'dt',[]
DS0061,Failed: Logic Error (Assertion failed),[]
DS0062,Failed: Logic Error (Assertion failed),[]
DS0063,"Failed: IndentationError: expected an indented block after function definition on line 4 (<string>, line 5)",[]
DS0064,Failed: Logic Error (Assertion failed),[]
DS0065,Failed: Logic Error (Assertion failed),[]
DS0066,Failed: Logic Error (Assertion failed),[]
DS0067,Failed: Logic Error (Assertion failed),[]
DS0068,"Failed: ValueError: operands could not be broadcast together with shapes (4,) (5,) ",[]
DS0069,"Failed: ValueError: operands could not be broadcast together with shapes (4,) (5,) ",[]
DS0070,"Failed: IndentationError: expected an indented block after function definition on line 4 (<string>, line 5)",[]
DS0071,"Failed: IndentationError: expected an indented block after function definition on line 4 (<string>, line 5)",[]
DS0072,"Failed: IndentationError: expected an indented block after function definition on line 4 (<string>, line 5)",[]
DS0073,Failed: TypeError: unsupported operand type(s) for -: 'str' and 'str',"[{""api"": ""UInt8Dtype.type"", ""type"": ""method"", ""belongs_to"": ""UInt8Dtype"", ""required_params"": [], ""optional_params"": [], ""description"": ""Unsigned integer type, compatible with C ``unsigned char``.""}]"
DS0074,Failed: AttributeError: Can only use .dt accessor with datetimelike values,[]
DS0075,Failed: AttributeError: 'DataFrame' object has no attribute 'append',"[{""api"": ""Series._append"", ""type"": ""method"", ""belongs_to"": ""Series"", ""required_params"": [""self"", ""to_append""], ""optional_params"": [""ignore_index"", ""verify_integrity""], ""description"": """"}, {""api"": ""PairGrid.pipe"", ""type"": ""method"", ""belongs_to"": ""PairGrid"", ""required_params"": [""self"", ""func"", ""args"", ""kwargs""], ""optional_params"": [], ""description"": ""Pass the grid to a user-supplied function and return its value.""}]"
DS0076,Passed,[]
DS0077,Passed,[]
DS0078,Passed,[]
DS0079,Failed: Logic Error (Assertion failed),[]
DS0080,Failed: Logic Error (Assertion failed),[]
DS0081,Failed: Logic Error (Assertion failed),[]
DS0082,Failed: Logic Error (Assertion failed),[]
DS0083,Failed: Logic Error (Assertion failed),[]
DS0084,Failed: Logic Error (Assertion failed),[]
DS0085,Failed: AttributeError: 'DataFrame' object has no attribute 'str',"[{""api"": ""TimedeltaIndex.std"", ""type"": ""method"", ""belongs_to"": ""TimedeltaIndex"", ""required_params"": [""self"", ""args"", ""kwargs""], ""optional_params"": [], ""description"": """"}]"
DS0086,Failed: Logic Error (Assertion failed),[]
DS0087,"Failed: IndentationError: expected an indented block after function definition on line 4 (<string>, line 5)",[]
DS0088,Failed: Logic Error (Assertion failed),[]
DS0089,Passed,[]
DS0090,Failed: Logic Error (Assertion failed),[]
DS0091,Failed: Logic Error (Assertion failed),[]
DS0092,Failed: Logic Error (Assertion failed),[]
DS0093,"Failed: IndentationError: expected an indented block after function definition on line 4 (<string>, line 5)",[]
DS0094,"Failed: IndentationError: expected an indented block after function definition on line 4 (<string>, line 5)",[]
DS0095,"Failed: KeyError: ""The following id_vars or value_vars are not present in the DataFrame: ['Variable 2000', 'Variable 2001', 'Variable 2002', 'Variable 2003', 'Variable 2004', 'Variable 2005']""",[]
DS0096,"Failed: KeyError: ""The following id_vars or value_vars are not present in the DataFrame: ['Variable 2000', 'Variable 2001', 'Variable 2002', 'Variable 2003', 'Variable 2004', 'Variable 2005']""",[]
DS0097,Failed: Logic Error (Assertion failed),[]
DS0098,Failed: Logic Error (Assertion failed),[]
DS0099,"Failed: SyntaxError: closing parenthesis ']' does not match opening parenthesis '(' (<string>, line 5)",[]
DS0100,Failed: Logic Error (Assertion failed),[]
DS0101,Failed: Logic Error (Assertion failed),[]
DS0102,"Failed: IndentationError: expected an indented block after function definition on line 4 (<string>, line 5)",[]
DS0103,Failed: Logic Error (Assertion failed),[]
DS0104,Failed: Logic Error (Assertion failed),[]
DS0105,Failed: NameError: name 'name_df' is not defined,"[{""api"": ""Timestamp.tzname"", ""type"": ""method"", ""belongs_to"": ""Timestamp"", ""required_params"": [""self""], ""optional_params"": [], ""description"": ""Return time zone name.""}, {""api"": ""TimedeltaIndex.rename"", ""type"": ""method"", ""belongs_to"": ""TimedeltaIndex"", ""required_params"": [""self"", ""name""], ""optional_params"": [""inplace""], ""description"": ""Alter Index or MultiIndex name.""}]"
DS0106,Failed: NameError: name 'name_df' is not defined,"[{""api"": ""Timestamp.tzname"", ""type"": ""method"", ""belongs_to"": ""Timestamp"", ""required_params"": [""self""], ""optional_params"": [], ""description"": ""Return time zone name.""}, {""api"": ""TimedeltaIndex.rename"", ""type"": ""method"", ""belongs_to"": ""TimedeltaIndex"", ""required_params"": [""self"", ""name""], ""optional_params"": [""inplace""], ""description"": ""Alter Index or MultiIndex name.""}]"
DS0107,Failed: NameError: name 'name_df' is not defined,"[{""api"": ""Timestamp.tzname"", ""type"": ""method"", ""belongs_to"": ""Timestamp"", ""required_params"": [""self""], ""optional_params"": [], ""description"": ""Return time zone name.""}, {""api"": ""TimedeltaIndex.rename"", ""type"": ""method"", ""belongs_to"": ""TimedeltaIndex"", ""required_params"": [""self"", ""name""], ""optional_params"": [""inplace""], ""description"": ""Alter Index or MultiIndex name.""}]"
DS0108,Failed: Logic Error (Assertion failed),[]
DS0109,Failed: Logic Error (Assertion failed),[]
DS0110,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0111,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0112,Failed: AttributeError: 'str' object has no attribute 'is_integer',[]
DS0113,Failed: AttributeError: 'str' object has no attribute 'is_integer',[]
DS0114,"Failed: IndentationError: expected an indented block after function definition on line 4 (<string>, line 5)",[]
DS0115,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0116,"Failed: TypeError: can only concatenate str (not ""int"") to str",[]
DS0117,Failed: Logic Error (Assertion failed),[]
DS0118,Failed: NameError: name 'rows' is not defined,"[{""api"": ""Series.rpow"", ""type"": ""method"", ""belongs_to"": ""Series"", ""required_params"": [""self"", ""other""], ""optional_params"": [""level"", ""fill_value"", ""axis""], ""description"": ""Return Exponential power of series and other, element-wise (binary operator `rpow`).""}, {""api"": ""numpy.zeros"", ""type"": ""function"", ""required_params"": [], ""optional_params"": [], ""description"": ""zeros(shape, dtype=float, order='C', *, like=None)""}]"
DS0119,Failed: Logic Error (Assertion failed),[]
DS0120,"Failed: IndentationError: expected an indented block after function definition on line 6 (<string>, line 7)",[]
DS0121,Failed: Logic Error (Assertion failed),[]
DS0122,Failed: KeyError: 'Column not found: euclidean_distance',[]
DS0123,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0124,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0125,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0126,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0127,Failed: Logic Error (Assertion failed),[]
DS0128,Failed: Logic Error (Assertion failed),[]
DS0129,Failed: Logic Error (Assertion failed),[]
DS0130,Failed: Logic Error (Assertion failed),[]
DS0131,Failed: Logic Error (Assertion failed),[]
DS0132,"Failed: IndentationError: expected an indented block after function definition on line 4 (<string>, line 5)",[]
DS0133,Failed: Logic Error (Assertion failed),[]
DS0134,Failed: Logic Error (Assertion failed),[]
DS0135,Passed,[]
DS0136,Failed: Logic Error (Assertion failed),[]
DS0137,Failed: Logic Error (Assertion failed),[]
DS0138,Passed,[]
DS0139,Passed,[]
DS0140,"Failed: ValueError: ('Lengths must match to compare', (4,), (2,))",[]
DS0141,Failed: ValueError: id_vars must be a list of tuples when columns are a MultiIndex,[]
DS0142,"Failed: KeyError: ""The following id_vars or value_vars are not present in the DataFrame: ['A', 'B', 'E']""",[]
DS0143,Passed,[]
DS0144,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0145,Passed,[]
DS0146,Passed,[]
DS0147,Passed,[]
DS0148,Failed: Logic Error (Assertion failed),[]
DS0149,Failed: Logic Error (Assertion failed),[]
DS0150,Failed: Logic Error (Assertion failed),[]
DS0151,Failed: AttributeError: 'int' object has no attribute 'replace',[]
DS0152,Failed: KeyError: 0,[]
DS0153,Failed: Logic Error (Assertion failed),[]
DS0154,Failed: Logic Error (Assertion failed),[]
DS0155,Passed,[]
DS0156,Failed: NameError: name 'df' is not defined,"[{""api"": ""ZeroInflatedPoisson.pdf"", ""type"": ""method"", ""belongs_to"": ""ZeroInflatedPoisson"", ""required_params"": [""self"", ""X""], ""optional_params"": [], ""description"": ""The probability density (mass) function of the model.""}, {""api"": ""ZeroInflatedPoisson.cdf"", ""type"": ""method"", ""belongs_to"": ""ZeroInflatedPoisson"", ""required_params"": [""self"", ""X""], ""optional_params"": [], ""description"": ""The cumulative distribution function of the model.""}]"
DS0157,Failed: Logic Error (Assertion failed),[]
DS0158,Failed: Logic Error (Assertion failed),[]
DS0159,"Failed: TypeError: Index(...) must be called with a collection of some kind, 'Has Family' was passed",[]
DS0160,Failed: Logic Error (Assertion failed),[]
DS0161,Failed: Logic Error (Assertion failed),[]
DS0162,Passed,[]
DS0163,Passed,[]
DS0164,Failed: Logic Error (Assertion failed),[]
DS0165,Failed: Logic Error (Assertion failed),[]
DS0166,Passed,[]
DS0167,Passed,[]
DS0168,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0169,Failed: Logic Error (Assertion failed),[]
DS0170,Failed: Logic Error (Assertion failed),[]
DS0171,Failed: Logic Error (Assertion failed),[]
DS0172,Failed: Logic Error (Assertion failed),[]
DS0173,Failed: Logic Error (Assertion failed),[]
DS0174,Failed: KeyError: 'value',[]
DS0175,Passed,[]
DS0176,Passed,[]
DS0177,Passed,[]
DS0178,Failed: Logic Error (Assertion failed),[]
DS0179,Failed: Logic Error (Assertion failed),[]
DS0180,Passed,[]
DS0181,Failed: AttributeError: module 'numpy' has no attribute 'NAN',[]
DS0182,Failed: AttributeError: module 'numpy' has no attribute 'NAN',[]
DS0183,Failed: AttributeError: module 'numpy' has no attribute 'NAN',[]
DS0184,Failed: AttributeError: module 'numpy' has no attribute 'NAN',[]
DS0185,Failed: AttributeError: Can only use .dt accessor with datetimelike values,[]
DS0186,Failed: AttributeError: Can only use .dt accessor with datetimelike values,[]
DS0187,Failed: AttributeError: Can only use .dt accessor with datetimelike values,[]
DS0188,Failed: TypeError: DataFrame.reset_index() got an unexpected keyword argument 'name',"[{""api"": ""Series.reset_index"", ""type"": ""method"", ""belongs_to"": ""Series"", ""required_params"": [""self""], ""optional_params"": [""level"", ""drop"", ""name"", ""inplace"", ""allow_duplicates""], ""description"": ""Generate a new DataFrame or Series with the index reset.""}]"
DS0189,Failed: NameError: name 'result1' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""seaborn.residplot"", ""type"": ""function"", ""required_params"": [], ""optional_params"": [""data"", ""x"", ""y"", ""x_partial"", ""y_partial"", ""lowess"", ""order"", ""robust"", ""dropna"", ""label"", ""color"", ""scatter_kws"", ""line_kws"", ""ax""], ""description"": ""Plot the residuals of a linear regression.""}]"
DS0190,Passed,[]
DS0191,Passed,[]
DS0192,Passed,[]
DS0193,Failed: TypeError: pivot_table() got an unexpected keyword argument 'rows',"[{""api"": ""DataFrame.pivot_table"", ""type"": ""method"", ""belongs_to"": ""DataFrame"", ""required_params"": [""self""], ""optional_params"": [""values"", ""index"", ""columns"", ""aggfunc"", ""fill_value"", ""margins"", ""dropna"", ""margins_name"", ""observed"", ""sort""], ""description"": ""Create a spreadsheet-style pivot table as a DataFrame.""}]"
DS0194,Passed,[]
DS0195,Failed: TypeError: DataFrame.drop() takes from 1 to 2 positional arguments but 3 were given,"[{""api"": ""TimedeltaIndex.drop"", ""type"": ""method"", ""belongs_to"": ""TimedeltaIndex"", ""required_params"": [""self"", ""labels""], ""optional_params"": [""errors""], ""description"": ""Make new Index with passed list of labels deleted.""}]"
DS0196,Failed: TypeError: DataFrame.drop() takes from 1 to 2 positional arguments but 3 were given,"[{""api"": ""TimedeltaIndex.drop"", ""type"": ""method"", ""belongs_to"": ""TimedeltaIndex"", ""required_params"": [""self"", ""labels""], ""optional_params"": [""errors""], ""description"": ""Make new Index with passed list of labels deleted.""}]"
DS0197,Failed: AttributeError: module 'numpy' has no attribute 'NAN',[]
DS0198,Failed: Logic Error (Assertion failed),[]
DS0199,Failed: TypeError: StringMethods.split() takes from 1 to 2 positional arguments but 3 were given,"[{""api"": ""str_.split"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0200,Failed: TypeError: StringMethods.split() takes from 1 to 2 positional arguments but 3 were given,"[{""api"": ""str_.split"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0201,Failed: TypeError: StringMethods.split() takes from 1 to 2 positional arguments but 3 were given,"[{""api"": ""str_.split"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0202,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0203,"Failed: TypeError: can only concatenate str (not ""int"") to str",[]
DS0204,"Failed: IndentationError: expected an indented block after function definition on line 4 (<string>, line 5)",[]
DS0205,"Failed: TypeError: can only concatenate str (not ""int"") to str",[]
DS0206,Passed,[]
DS0207,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0208,Failed: Logic Error (Assertion failed),[]
DS0209,"Failed: ValueError: time data ""2016-05-19 21:25:00"" doesn't match format "" %Y-%m-%d %H:%M:%S"", at position 2. You might want to try:
    - passing `format` if your strings have a consistent format;
    - passing `format='ISO8601'` if your strings are all ISO8601 but not necessarily in exactly the same format;
    - passing `format='mixed'`, and the format will be inferred for each element individually. You might want to use `dayfirst` alongside this.",[]
DS0210,"Failed: ValueError: time data ""2016-05-19 21:25:00"" doesn't match format "" %Y-%m-%d %H:%M:%S"", at position 2. You might want to try:
    - passing `format` if your strings have a consistent format;
    - passing `format='ISO8601'` if your strings are all ISO8601 but not necessarily in exactly the same format;
    - passing `format='mixed'`, and the format will be inferred for each element individually. You might want to use `dayfirst` alongside this.",[]
DS0211,"Failed: ValueError: time data ""2016-05-19 21:25:00"" doesn't match format "" %Y-%m-%d %H:%M:%S"", at position 2. You might want to try:
    - passing `format` if your strings have a consistent format;
    - passing `format='ISO8601'` if your strings are all ISO8601 but not necessarily in exactly the same format;
    - passing `format='mixed'`, and the format will be inferred for each element individually. You might want to use `dayfirst` alongside this.",[]
DS0212,Failed: Logic Error (Assertion failed),[]
DS0213,Failed: Logic Error (Assertion failed),[]
DS0214,Failed: Logic Error (Assertion failed),[]
DS0215,Passed,[]
DS0216,Failed: ValueError: Length of values (13) does not match length of index (12),[]
DS0217,Passed,[]
DS0218,Passed,[]
DS0219,Failed: Logic Error (Assertion failed),[]
DS0220,Failed: TypeError: StringMethods.rsplit() takes from 1 to 2 positional arguments but 3 were given,"[{""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0221,Failed: TypeError: StringMethods.rsplit() takes from 1 to 2 positional arguments but 3 were given,"[{""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0222,Failed: TypeError: StringMethods.rsplit() takes from 1 to 2 positional arguments but 3 were given,"[{""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0223,Failed: Logic Error (Assertion failed),[]
DS0224,Failed: Logic Error (Assertion failed),[]
DS0225,Failed: Logic Error (Assertion failed),[]
DS0226,Failed: Logic Error (Assertion failed),[]
DS0227,"Failed: ValueError: 1 columns passed, passed data had 3 columns",[]
